Animal,closure_reason,reason,location,neighborhood,neighborhood_services_district,ward,precinct,location_street_name,location_zipcode,latitude,longitude
dog,Case Closed. Closed date : 2021-12-13 17:38:32.13 Case Resolved Patricia Jones Sun  Dec 12  11:10 AM (1 day ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  michael.stern  pat.conroy  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  12/12/21- made contact with caller . Will be investigating and contacting dog owner (Jones) ,Animal Issues,77 Montview St  West Roxbury  MA  02132,West Roxbury,12,20,2012,77 Montview St,2132.0,42.28681966862597,-71.1606808375151
dog,Case Closed. Closed date : 2021-12-13 17:33:17.243 Case Resolved  Maryanne Jenner Sun  Dec 12  5:08 PM (1 day ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  michael.stern  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  Went to location the dog was gone when I arrived There is no call back number  ,Animal Issues,308 Amory St  Jamaica Plain  MA  02130,Jamaica Plain,11,Ward 11,1106,308 Amory St,2130.0,42.31395358683811,-71.10478965087171
dog,Case Closed. Closed date : 2021-12-14 11:18:50.747 Case Resolved Daniel Gillis Mon  Dec 13  2:23 AM (1 day ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  michael.stern  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  The dog was taken to the shelter.DG/108 ,Animal Issues,510 Southampton St  South Boston  MA  02127,South Boston / South Boston Waterfront,5,Ward 7,0706,510 Southampton St,2127.0,42.329749521026855,-71.05739050844733
cat,Case Closed. Closed date : 2021-12-14 11:21:15.75 Case Resolved an Maclean <ian.maclean@boston.gov> Mon  Dec 13  7:30 AM (1 day ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  michael.stern  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  Deceased cat was picked up and brought to city of Boston animal shelter . IM/103 ,Animal Issues,149 Metropolitan Ave  Roslindale  MA  02131,Roslindale,10,Ward 18,1810,149 Metropolitan Ave,2131.0,42.27895362625194,-71.12959278488333
dog,Case Closed. Closed date : 2021-12-14 11:44:16.583 Case Resolved Daniel Gillis Mon  Dec 13  11:57 AM (23 hours ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  michael.stern  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  The dog was taken to the shelter due to an eviction per Constable and Boston Police  ,Animal Issues,33 Raldne Rd  Hyde Park  MA  02136,Hyde Park,10,Ward 18,1819,33 Raldne Rd,2136.0,42.25576964626793,-71.14096086257723
rabbit,Case Closed. Closed date : 2021-12-14 17:19:46.46 Case Resolved Picked up rabbit bringing it to the animal shelter ,Animal Issues,INTERSECTION of Centre St & Quinn Way  West Roxbury  MA  ,West Roxbury,12,20,2014,INTERSECTION Centre St & Quinn Way,,42.28215778502486,-71.15768770851061
dog,Case Closed. Closed date : 2021-12-15 12:29:58.537 Case Resolved Maryanne Jenner Tue  Dec 14  5:39 PM (18 hours ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  michael.stern  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  Went to the location knocked on the door rang all the bells nobody answered did not hear a dog barking at all there’s no specific apartment caller the caller as well . Was not able to make contact with them either . Left a notice at the address to contact the office  ,Animal Issues,6 Langdon St  Roxbury  MA  02119,Roxbury,13,Ward 8,0805,6 Langdon St,2119.0,42.32406954294551,-71.07348055706939
dog,Case Closed. Closed date : 2021-12-14 17:22:49.0 Case Resolved The dog was taken to the shelter DG/108 ,Animal Issues,503 Western Ave  Brighton  MA  02135,Allston / Brighton,15,Ward 22,2205,503 Western Ave,2135.0,42.361929631265205,-71.14446063218404
dog,Case Closed. Closed date : 2021-12-14 17:10:18.887 Case Resolved The dog was taken to the shelter DG/108 ,Animal Issues,1249 Hyde Park Ave  Hyde Park  MA  02136,Hyde Park,10,18,1813,1249 Hyde Park Ave,2136.0,42.25646437299604,-71.12421886952357
bird,Case Closed. Closed date : 2021-12-14 16:20:28.447 Case Resolved Went to location. Spoke to the T worker who said the bird was there this morning but has since gone  ,Animal Issues,700 Boylston St  Boston  MA  02116,Boston,6,04,0402,700 Boylston St,2116.0,42.34923056883195,-71.07865917016449
deer,Case Closed. Closed date : 2021-12-15 12:35:38.533 Case Resolved Maryanne Jenner Tue  Dec 14  7:35 PM (16 hours ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  michael.stern  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  Arrived at location was not able to get the deer is very much alive I called environmental police they are in route and they have swapped numbers with Officer Lewis from Boston police and are on their way to assist BPD  ,Animal Issues,1400 Lagrange St  West Roxbury  MA  02132,West Roxbury,12,20,2017,1400 Lagrange St,2132.0,42.29855555563949,-71.17225489066313
deer,Case Closed. Closed date : 2021-12-15 12:39:50.153 Case Referred to External Agency This call was referred to the Environmental Policy and DPW as caller was not sure if she deer was alive or not   ,Animal Issues,INTERSECTION of Washington St & Enneking Pkwy  West Roxbury  MA  ,West Roxbury,10,20,2009,INTERSECTION Washington St & Enneking Pkwy,,42.27529329075819,-71.14069190751746
dog,Case Closed. Closed date : 2021-12-16 11:25:34.003 Case Resolved Maryanne Jenner Wed  Dec 15  7:19 PM (16 hours ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  michael.stern  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  The owner of the dog was present the owner was Educated about taking the dog to the hospital  ,Animal Issues,37 Mendelssohn St  Roslindale  MA  02131,Roslindale,10,Ward 20,2009,37 Mendelssohn St,2131.0,42.27875963973468,-71.1389808063871
bird,Case Closed. Closed date : 2021-12-16 11:26:56.08 Case Resolved AF I responded to the above location. I searched the area No bird was found.  ,Animal Issues,303-305 North St  Boston  MA  02109,Downtown / Financial District,3,Ward 3,0301,303-305 North St,2109.0,42.364579511161374,-71.05159041746442
dog,Case Closed. Closed date : 2021-12-17 14:01:00.48 Case Resolved The dog was taken to the shelter owner was taken to the hospital   ,Animal Issues,870 Massachusetts Ave  Roxbury  MA  02118,South Boston / South Boston Waterfront,13,Ward 8,0806,870 Massachusetts Ave,2118.0,42.3315195379275,-71.07035053389974
dog,Case Closed. Closed date : 2021-12-17 14:01:59.177 Duplicate of Existing Case his is a duplicate email. The dog was taken to the shelter  the owner was taken to the hospital   ,Animal Issues,870 Massachusetts Ave  Roxbury  MA  02118,South Boston / South Boston Waterfront,13,Ward 8,0806,870 Massachusetts Ave,2118.0,42.3315195379275,-71.07035053389974
dog,Case Closed. Closed date : 2021-12-17 13:32:40.387 Case Resolved responded to location the dog was not abandoned and it is fine  it belongs to a homeless man  he is always on the overpass .  ,Animal Issues,INTERSECTION of Ellery St & Southampton St  South Boston  MA  ,South Boston / South Boston Waterfront,5,7,0706,INTERSECTION Ellery St & Southampton St,,42.3297422191301,-71.05826393273807
dog,Case Closed. Closed date : 2021-12-17 18:10:27.073 Case Resolved After arriving the dog was no longer in the yard I was unable to locate the dog. Munroe110   ,Animal Issues,19 Frederika St  Dorchester  MA  02124,Dorchester,7,Ward 16,1611,19 Frederika St,2124.0,42.28274952677933,-71.05901061699782
bird,Case Closed. Closed date : 2021-12-20 12:07:12.76 Case Resolved   Injured bird was transported to angell. Munroe110  ,Animal Issues,INTERSECTION of Saratoga St & Wordsworth St  East Boston  MA  ,East Boston,1,1,0111,INTERSECTION Saratoga St & Wordsworth St,,42.38440100839859,-71.01547799090532
dog,Case Closed. Closed date : 2021-12-20 12:43:13.083 Case Resolved Daniel Gillis Sat  Dec 18  10:42 AM (2 days ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  michael.stern  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  The dog was taken to the COB shelter  ,Animal Issues,350 S Huntington Ave  Jamaica Plain  MA  02130,Jamaica Plain,11,Ward 10,1009,350 S Huntington Ave,2130.0,42.32276215076271,-71.11104301607821
rabbit,Case Closed. Closed date : 2021-12-20 12:52:26.24 Case Resolved Daniel Gillis Sat  Dec 18  12:49 PM (2 days ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  michael.stern  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  The caller took the injured rabbit to the MSPCA  prior to my arrival   ,Animal Issues,INTERSECTION of Lincoln St & Portsmouth St  Brighton  MA  ,Allston / Brighton,15,22,2205,INTERSECTION Lincoln St & Portsmouth St,,42.35844320473817,-71.14449653756695
dog,Case Closed. Closed date : 2021-12-21 16:41:17.2 Case Resolved Patrick Conroy Sun  Dec 19  9:04 AM (2 days ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  michael.stern  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  Pick up injured dog transported to MSPCA  ,Animal Issues,666 Massachusetts Ave  Roxbury  MA  02118,South End,6,Ward 8,0802,666 Massachusetts Ave,2118.0,42.33600954510108,-71.0759705365632
dog,Case Closed. Closed date : 2021-12-21 16:42:02.66 Case Resolved Patrick Conroy Sun  Dec 19  9:53 AM (2 days ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  michael.stern  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  Responded to location spoke with pet owner and educated him concerning leaving the dog out ,Animal Issues,410 Western Ave  Brighton  MA  02135,Allston / Brighton,15,Ward 22,2205,410 Western Ave,2135.0,42.362359625537415,-71.13980062067107
dog,Case Closed. Closed date : 2021-12-21 16:47:05.51 Case Resolved Maryanne Jenner Sun  Dec 19  3:51 PM (2 days ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  michael.stern  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  Went to location and rang bells knocked on the door and no  answer but there was no dog outside on the porch .I have spoken to the caller on several occasions and she don’t have an exact location  ,Animal Issues,6 Langdon St  Roxbury  MA  02119,Roxbury,13,Ward 8,0805,6 Langdon St,2119.0,42.32406954294551,-71.07348055706939
dog,Case Closed. Closed date : 2021-12-21 16:48:10.88 Case Resolved Maryanne Jenner Sun  Dec 19  5:33 PM (2 days ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  michael.stern  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  Dog was at the callers home but he wasn’t home he was in Everett and no one was there for me to be able to get the dog ,Animal Issues,380 Centre St  Dorchester  MA  02122,Dorchester,7,Ward 16,1605,380 Centre St,2122.0,42.295009523843824,-71.05764058670715
dog,Case Closed. Closed date : 2021-12-21 16:49:12.02 Case Resolved Michael Stern Sun  Dec 19  9:18 PM (2 days ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  Picked up the dog and transporting to the shelter. MS 107 ,Animal Issues,169 Princeton St  East Boston  MA  02128,East Boston,1,Ward 1,0106,169 Princeton St,2128.0,42.37838948665861,-71.03316034566006
dog,Case Closed. Closed date : 2021-12-22 11:48:16.287 Case Resolved Michael Stern Mon  Dec 20  6:03 PM (2 days ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  Dog not observed outside  no answer at residence  nor dog heard barking. Posted notice. MS 107  ,Animal Issues,47 Alaric St  West Roxbury  MA  02132,West Roxbury,12,Ward 20,2005,47 Alaric St,2132.0,42.27741967170591,-71.16200086128975
dog,Case Closed. Closed date : 2021-12-22 11:46:26.14 Case Resolved Maryanne Jenner Dec 20  2021  5:21 PM (2 days ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  michael.stern  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  Went to the location there was no people or a dog at this location dog was gone when I arrived no call back  Number ,Animal Issues,INTERSECTION of Neptune Rd & Bennington St  East Boston  MA  ,East Boston,1,1,0110,INTERSECTION Neptune Rd & Bennington St,,42.38003653891777,-71.025480978227
dog,Case Closed. Closed date : 2021-12-22 11:47:23.863 Case Resolved Michael Stern Mon  Dec 20  5:51 PM (2 days ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  Picked up the dog and transporting to the Shelter. MS 107 ,Animal Issues,8 Curlew St  West Roxbury  MA  02132,West Roxbury,12,Ward 20,2005,8 Curlew St,2132.0,42.27315965820304,-71.15137084699023
dog,Case Closed. Closed date : 2021-12-22 14:56:22.02 Case Resolved  Michael Stern Mon  Dec 20  8:28 PM (2 days ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  Made contact via phone with the dog owner and advised them their dog was impounded at the shelter and to contact the shelter during business hours. MS 107 ,Animal Issues,232 Lagrange St  West Roxbury  MA  02132,West Roxbury,12,Ward 20,2005,232 Lagrange St,2132.0,42.27631965881238,-71.15227084204297
dog,Case Closed. Closed date : 2021-12-22 15:03:32.87 Case Resolved Patrick Conroy Tue  Dec 21  9:45 AM (1 day ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  michael.stern  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  Responded to location unable to locate car with dog ,Animal Issues,INTERSECTION of Irving St & Phillips St  Boston  MA  ,Beacon Hill,3,3,0306,INTERSECTION Irving St & Phillips St,,42.36033463395433,-71.06636287665053
bird,Case Closed. Closed date : 2021-12-22 15:04:43.013 Case Resolved Patrick Conroy Tue  Dec 21  9:44 AM (1 day ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  michael.stern  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  Responded to location removed dead bird the other 2 where not injured  ,Animal Issues,INTERSECTION of City Hall Plz & Court St  Boston  MA  ,Downtown / Financial District,3,3,0306,INTERSECTION City Hall Plz & Court St,,42.35925362935342,-71.05947743254481
dog,Case Closed. Closed date : 2021-12-23 12:15:42.697 Case Resolved  Michael Stern Wed  Dec 22  6:40 PM (17 hours ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  Upon arrival  the constituent had found the owner’s neighbor  who is holding the dog until the owner returns. MS107  ,Animal Issues,57 Trenton St  East Boston  MA  02128,East Boston,1,Ward 1,0107,57 Trenton St,2128.0,42.37840949185574,-71.03723035529113
bird,Case Closed. Closed date : 2021-12-23 12:00:51.157 Case Resolved responded to the location bird was not injured and released near the water. ,Animal Issues,86 Cottage St  East Boston  MA  02128,East Boston,1,Ward 1,0102,86 Cottage St,2128.0,42.36788948969024,-71.03530037356813
dog,Case Closed. Closed date : 2021-12-24 10:08:54.063 Case Resolved Constituent called back while en route and stated she reunited the dog with its owner. MS 107  ,Animal Issues,132 Brooks St  Brighton  MA  02135,Allston / Brighton,15,Ward 22,2207,132 Brooks St,2135.0,42.35308965716532,-71.16283069358072
gull,Case Closed. Closed date : 2021-12-24 10:10:26.247 Case Resolved Captured the injured gull and transporting to Angel. MS 107  ,Animal Issues,28 Damrell St  South Boston  MA  02127,South Boston / South Boston Waterfront,5,Ward 7,0705,28 Damrell St,2127.0,42.33348900191403,-71.05549188727926
dog,Case Closed. Closed date : 2021-12-24 16:27:59.577 Case Resolved Picked up the dog and transporting to the shelter. MS 107 ,Animal Issues,20A Ames St  Dorchester  MA  02124,Dorchester,9,14,1410,20A Ames St,2124.0,42.29008734945267,-71.08598051722035
bat,Case Closed. Closed date : 2021-12-25 11:04:17.48 Case Resolved Responded to location remove the bat and released  ,Animal Issues,24 Sidlaw Rd  Brighton  MA  02135,Allston / Brighton,15,Ward 21,2115,24 Sidlaw Rd,2135.0,42.34019964597496,-71.15263069932597
raccoon,Case Closed. Closed date : 2021-12-25 16:04:57.387 Case Resolved Responded to location unable to locate the raccoon ,Animal Issues,9 Foster St  Brighton  MA  02135,Allston / Brighton,15,Ward 22,2210,9 Foster St,2135.0,42.350449650027,-71.1571606862181
raccoon,Case Closed. Closed date : 2021-12-27 10:37:10.03 Case Resolved Michael Stern Sat  Dec 25  7:01 PM (2 days ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  Picked up the raccoon and transporting to Angell. MS107 ,Animal Issues,11 Foster St  Brighton  MA  02135,Allston / Brighton,15,Ward 22,2210,11 Foster St,2135.0,42.350279650411366,-71.15723068728596
raccoon,Case Closed. Closed date : 2021-12-27 10:38:59.75 Case Resolved Michael Stern Sat  Dec 25  11:13 PM (2 days ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  Removed the raccoon and released it outside. MS 107 ,Animal Issues,100 Walnut Ave  Roxbury  MA  02119,Roxbury,13,Ward 12,1203,100 Walnut Ave,2119.0,42.32134955969264,-71.08533059016342
pigeon,Case Closed. Closed date : 2021-12-27 12:23:24.43 Case Resolved Went to location pigeon was doa  ,Animal Issues,345 Harrison Ave  Roxbury  MA  02118,Roxbury,4,03,0308,345 Harrison Ave,2118.0,42.344884974931176,-71.06422483175099
dog,Case Closed. Closed date : 2021-12-27 12:24:28.147 Case Resolved Picked up the dog bringing it to the animal shelter  ,Animal Issues,350 S Huntington Ave  Jamaica Plain  MA  02130,Jamaica Plain,11,Ward 10,1009,350 S Huntington Ave,2130.0,42.32276215076271,-71.11104301607821
cat,Case Closed. Closed date : 2021-12-29 14:33:03.703 Case Resolved Maryanne Jenner Mon  Dec 27  10:49 PM (2 days ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  michael.stern  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan   Picked up the cat bringing it to the shelter ,Animal Issues,9 Ward St  South Boston  MA  02127,South Boston,5,07,0706,9 Ward St,2127.0,42.33009005785467,-71.05515366496134
dog,Case Closed. Closed date : 2021-12-29 17:13:06.023 Case Resolved  Michael Stern Tue  Dec 28  4:10 PM (1 day ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  Found the owner  and I returned the dog to him and issued a citation. MS 107 ,Animal Issues,201 Wood Ave  Hyde Park  MA  02136,Hyde Park,10,Ward 18,1808,201 Wood Ave,2136.0,42.26669960272261,-71.11144077159095
rabbit,Case Closed. Closed date : 2021-12-29 17:11:13.827 Case Resolved Michael Stern Tue  Dec 28  5:47 PM (23 hours ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  ACO 5/Jenner responded  unable to locate rabbit  made contact with the constituent  but she had already left. ,Animal Issues,101 Saint Theresa Ave  West Roxbury  MA  02132,West Roxbury,12,20,2005,101 Saint Theresa Ave,2132.0,42.276112273931005,-71.1571506485754
dog,Case Closed. Closed date : 2021-12-29 17:09:40.033 Case Resolved Maryanne Jenner Tue  Dec 28  6:02 PM (23 hours ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  michael.stern  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  Arrived at the location there is only one person here with a dog and it’s leashed there are no off leash dogs at this time ,Animal Issues,INTERSECTION of Rosemary St & Spalding St  Jamaica Plain  MA  ,Jamaica Plain,11,11,1110,INTERSECTION Rosemary St & Spalding St,,42.3042060645839,-71.11280111572724
dog,Case Closed. Closed date : 2021-12-30 17:09:34.047 Case Resolved Picked up the dog and transporting to Angell. MS 107  ,Animal Issues,55 Fruit St  Boston  MA  02114,Boston,3,03, ,55 Fruit St,2114.0,42.36321340137432,-71.06868287082204
dog,Case Closed. Closed date : 2021-12-30 17:10:26.187 Case Resolved Picked up the dog will be bringing it to the animal shelter  ,Animal Issues,INTERSECTION of Senator Bolling Cir & Osprey Way  Dorchester  MA  ,Greater Mattapan,9,14,1411,INTERSECTION Senator Bolling Cir & Osprey Way,,42.29121503481921,-71.09285720487694
bird,Case Closed. Closed date : 2021-12-30 17:14:34.96 Case Resolved bird taken to shelter ,Animal Issues,203 River St  Mattapan  MA  02126,Mattapan,9,18,1801,203 River St,2126.0,42.2719247556597,-71.07961878997368
cat,Case Closed. Closed date : 2021-12-31 10:56:18.763 Case Resolved  The dead cat was taken to the shelter  ,Animal Issues,55 Pasadena Rd  Dorchester  MA  02121,Roxbury,13,Ward 14,1403,55 Pasadena Rd,2121.0,42.30597955863501,-71.08383062124709
skunk,Case Closed. Closed date : 2021-12-31 10:58:45.363 Case Resolved The injured skunk was taken to the shelter  ,Animal Issues,355 K St  South Boston  MA  02127,South Boston / South Boston Waterfront,5,Ward 7,0702,355 K St,2127.0,42.331659494246914,-71.03748045984499
dog,Case Closed. Closed date : 2021-12-30 15:01:46.71 Case Resolved    Made contact with the constituent  who stated that the owner came  aggressively grabbed the dog  and fled. MS 107 ,Animal Issues,INTERSECTION of Washington St & Stearns Rd  West Roxbury  MA  ,West Roxbury,12,20,2003,INTERSECTION Washington St & Stearns Rd,,42.26566950864815,-71.1524156930996
cat,Case Closed. Closed date : 2021-12-31 10:59:58.817 Case Resolved   Picked up the cat brought it to the shelter  ,Animal Issues,206 Magnolia St  Dorchester  MA  02121,Dorchester,13,14,1401,206 Magnolia St,2121.0,42.31134185627193,-71.0735561150255
squirrel,Case Closed. Closed date : 2021-12-31 12:18:45.553 Case Resolved Removed and released squirrel  ,Animal Issues,2164 Washington St  Roxbury  MA  02119,Roxbury,13,Ward 8,0804,2164 Washington St,2119.0,42.33134955382728,-71.08204056048203
dog,Case Closed. Closed date : 2021-12-31 13:36:02.073 Case Resolved Picked up the dog bringing it to the animal shelter  ,Animal Issues,197 Fairmount St  Dorchester  MA  02124,Dorchester,7,Ward 17,1712,197 Fairmount St,2124.0,42.2793765561088,-71.07966767097273
squirrel,Case Closed. Closed date : 2021-12-31 14:38:39.16 Case Resolved Picked up the squirrel bringing it to the MSPCA  ,Animal Issues,18 Dustin St  Brighton  MA  02135,Allston / Brighton,15,Ward 22,2206,18 Dustin St,2135.0,42.35143963547787,-71.14631065990191
